babbelde	'bA-b@l-d@
bevrijdde	b@-'vrE+-d@
wegpakte	'wEx-pAk-t@
deprogrammeerde	de-pro-GrA-'mer-d@
afschrabde	'Af-sxrAb-d@
witte	'wI-t@
charterde	'SAr-t@r-d@
afdonderde	'Av-dOn-d@r-d@
fadede	'fe-d@
ontgroeide	Ont-'xruj-d@
bijkleurde	'bE+-kl2r-d@
schommelde	'sxO-m@l-d@
kiemde	'kim-d@
insemineerde	In-se-mi-'ner-d@
najouwde	'na-jA+w-d@
vluchtte	'vlYx-t@
aardde	'ar-d@
lolde	'lOl-d@
confronteerde	kOn-frOn-'ter-d@
verdraaide	v@r-'draj-d@
lasterde	'lAs-t@r-d@
becijferde	b@-'sE+-f@r-d@
afprakkiseerde	'Af-prA-k@-zer-d@
dooreengroeide	dor-'eN-Gruj-d@
tongde	'tON-d@
doodstak	'dot-stAk
afpijnigde	'Af-pE+-n@G-d@
schuddebuikte	'sxY-d@-bY+k-t@
mengde	'mEN-d@
afkondigde	'Af-kOn-d@G-d@
boycotte	'bOj-kO-t@
afvroeg	'A-frux
afturfde	'Af-tYrv-d@
experimenteerde	Eks-pe-ri-mEn-'ter-d@
aanpapte	'am-pAp-t@
aansnelde	'an-snEl-d@
plukte	'plYk-t@
zapte	'zAp-t@
sok	'sOk
gerelateerde	x@-re-la-'ter-d@
verweesde	v@r-'wez-d@
uitspookte	'Y+t-spok-t@
omlijnde	Om-'lE+n-d@
afwachtte	'Af-wAx-t@
haalde	'hal-d@
ompantserde	Om-'pAnt-s@r-d@
mocht	'mOxt
wegsleepte	'wEx-slep-t@
beschreeuwde	b@-'sxrew-d@
samensnoerde	'sa-m@n-snur-d@
verzekerde	v@r-'ze-k@r-d@
aflegde	'Af-lEG-d@
opstoomde	'Op-stom-d@
wegteerde	'wEx-ter-d@
vermaagschapte	v@r-'max-sxAp-t@
opsprak	'Op-sprAk
uitdiende	'Y+-din-d@
wederhoorde	'we-d@r-hor-d@
versteedste	v@r-'stets-t@
wegbrak	'wEG-brAk
planteerde	plAn-'ter-d@
rekende	're-k@n-d@
rescontreerde	rEs-kOn-'trer-d@
zonde	'zOn-d@
opfleurde	'Op-fl2r-d@
zoette	'zu-t@
voederde	'vu-d@r-d@
overging	'o-v@r-GIN
vrijsprak	'vrE+-sprAk
mobiliseerde	mo-bi-li-'zer-d@
zinspeelde	'zIn-spel-d@
kantonneerde	kAn-tO-'ner-d@
opsmulde	'Op-smYl-d@
doorwandelde	'dor-wAn-d@l-d@
uittandde	'Y+-tAn-d@
neersmakte	'ner-smAk-t@
ledigde	'le-d@G-d@
binnenriep	'bI-n@-rip
inwreef	'In-wref
wegtrapte	'wEx-trAp-t@
gatlikte	'xAt-lIk-t@
navelde	'na-v@l-d@
overzaaide	'o-v@r-zaj-d@
omroerde	'Om-rur-d@
wraakte	'wrak-t@
sponste	'spOns-t@
vergoddelijkte	v@r-'GO-d@-l@k-t@
hengelde	'hE-N@l-d@
verdiepte	v@r-'dip-t@
losreed	'lOs-ret
inwortelde	'In-wOr-t@l-d@
floot	'flot
totaliseerde	to-ta-li-'zer-d@
uitkletste	'Y+t-klEts-t@
canvaste	'kAn-vAs-t@
preserveerde	pre-zEr-'ver-d@
nepte	'nEp-t@
verkalkte	v@r-'kAlk-t@
ritte	'rI-t@
leed	'let
runde	'rYn-d@
dumpte	'dYmp-t@
wegstormde	'wEx-stOrm-d@
opborrelde	'O-bO-r@l-d@
leek	'lek
rondslofte	'rOnt-slOf-t@
platklopte	'plAt-klOp-t@
opzadelde	'Op-sa-d@l-d@
konkelfoesde	kON-k@l-'fuz-d@
uitsloofde	'Y+t-slov-d@
fotokopieerde	fo-to-ko-pi-'jer-d@
gladvijlde	'xlAt-fE+l-d@
bijtankte	'bE+-tENk-t@
spouwde	'spA+w-d@
slibde	'slIb-d@
naspoorde	'na-spor-d@
omwalde	Om-'wAl-d@
haatte	'ha-t@
changeerde	SAn-'Zer-d@
lekte	'lEk-t@
rilde	'rIl-d@
indaalde	'In-dal-d@
fijnkauwde	'fE+N-kA+w-d@
temperde	'tEm-p@r-d@
meubelde	'm2-b@l-d@
hervatte	hEr-'vA-t@
doodlachte	'dod-lAx-t@
parelde	'pa-r@l-d@
creneleerde	kre-n@-'ler-d@
repasseerde	re-pA-'ser-d@
noodde	'no-d@
nazong	'na-zON
nazond	'na-zOnt
